Articles,Theme Analysis,Level of Analysis,Research Methodology
Incorporating Job Demand Variability Into Job Demands Theory: A Meta-Analysis,Job demand variability moderates effects on strain and engagement. Challenge demands have stronger effects when more variable. Hindrance demands show stronger effects on engagement when more variable.,Individual,Quantitative
A Meta-Analysis Integrating 25 Years of Diversity Climate Research,Transactional Leadership's Dual Impact on Follower Performance,Individual / Organizational,Quantitative
Changing the Conversation on the Science–Practice Gap: An Adherence-Based Approach,"Science–Practice Gap, Adherence-Based Approach, Management Literature, Prescriptive Readiness, Barriers to Adherence.","Individual, Organizational","Qualitative, Quantitative"
The Evolution of Resource-Based Inquiry: A Review and Meta-Analytic Integration of the Strategic Resources–Actions–Performance Pathway,"Evolution of Resource-Based Inquiry, Resource Possession vs. Resource Use, RBV and RO Integration",Organizational,Quantitative
Platform Competition: A Systematic and Interdisciplinary Review of the Literature,"Theme Analysis: Evolution, Network Effects, Corporate Strategy, Heterogeneity, Platform Governance",Level of Analysis: Industry Field,Research Methodology: Interdisciplinary
Unit-Level Counterproductive Work Behavior (CWB): A Conceptual Review and Quantitative Summary,"Theme Analysis: Unit-level CWB, SIP Theory, Antecedents, Performance Consequences",Level of Analysis: Organizational,Research Methodology: Quantitative
The Corporate Governance of Environmental Sustainability: A Review and Proposal for More Integrated Research,Environmental Governance,Organizational,Qualitative / Quantitative
What Happens to Bad Actors in Organizations? A Review of Actor-Centric Outcomes of Negative Behavior,,,
Integrating Insights From the Resource-Based View of the Firm Into the New Stakeholder Theory,,,
Expanding Our Resources: Including Community in the Resource-Based View of the Firm,,,
The Emergence of Resource-Based Theory: A Personal Journey,Theme Analysis: Emergence of Resource-Based Theory,Level of Analysis: Individual,Research Methodology: Qualitative
Using the Resource-Based View in Multinational Enterprise Research,"Theme Analysis: RBV's Limited Applicability in MNE Research due to Diverse Outcomes, Levels, and Barriers",Level of Analysis: Organizational,Research Methodology: Qualitative
Organization Theory and the Resource-Based View of the Firm: The Great Divide,"Resource-Based View's limited impact on Organization Theory, driven by divergent research foci and a lack of integration.",Organizational,Organizational
Bold Voices and New Opportunities: An Expanded Research Agenda for the Resource-Based View,"Opportunities for Resource-Based View Expansion: Synergy, Content Knowledge, Strategic Resources Concept.",Organizational,Mixed (Qualitative and Quantitative)
Paradoxical Resource Trajectories: When Strength Leads to Weakness and Weakness Leads to Strength,,,
Resource-Based Theory and the Value Creation Framework,,,
Network Capabilities: Brokerage as a Bridge Between Network Theory and the Resource-Based View of the Firm,,,
"Strategy and Uncertainty: Resource-Based View, Strategy-Creation View, and the Hybrid Between Them",,,
"The Resource-Based View, Resourcefulness, and Resource Management in Startup Firms: A Proposed Research Agenda","RBV Impact, Reflection, Spinoffs, Empirical Trends, Critiques, Elegance, Ingloriousness, SHRM Application.",Organizational,Qualitative
Stakeholder Theory and the Resource-Based View of the Firm,,,
"The Resource-Based View of the Firm, Human Resources, and Human Capital: Progress and Prospects",,,
"The Resource-Based View and Learning Theory: Overlaps, Differences, and a Shared Future",,,
Resources for What? Understanding Performance in the Resource-Based View and Strategic Human Capital Resource Literatures,,,
The Resource-Based View and Its Use in Strategic Human Resource Management Research: The Elegant and Inglorious,,,
Jump-Starting the Socialization Experience: The Longitudinal Role of Day 1 Newcomer Resources on Adjustment,,,
When Is a Governmental Mandate not a Mandate? Predicting Organizational Compliance Under Semicoercive Conditions,Enforcement Uncertainty in Semicoercive Pressures,Organizational,Qualitative
Reducing Customer-Directed Deviant Behavior: The Roles of Psychological Detachment and Supervisory Unfairness,Psychological detachment and supervisory unfairness moderate the relationship between customer mistreatment and customer-directed deviant behavior.,Individual,Quantitative
The Curse of Extremes: Generalist Career Experience and CEO Initial Compensation,,,
Platform Development: Emerging Insights From a Nascent Industry,,,
The People Still Make the (Remote Work-) Place: Lessons from a Pandemic,,,
Trust Consensus Within Culturally Diverse Teams: A Multistudy Investigation,,,
More Than Meets the Eye: The Role of Immigration Background for Social Identity Effects,,,
Welcome Back? Job Performance and Turnover of Boomerang Employees Compared to Internal and External Hires,,,
Following an Uneven Lead: Trickle-Down Effects of Differentiated Transformational Leadership,,,
